,researcher,date,hour_HOBO,hour_OMEGA,temp,intensity,humidity,pendant_id,lat,long,region,site_code,sensor_pendant,microsite,rep,x,y,z
59,ng,2022-05-16,11:00:00 PM,,24.835,0,NA,10641596,35.11881,-119.6291,Carrizo,Carrizo_4,HOBO,triangle,8,0,0,0
60,ng,2022-05-17,12:00:00 AM,,22.525,0,NA,10641596,35.11881,-119.6291,Carrizo,Carrizo_4,HOBO,triangle,8,0,0,0
61,ng,2022-05-17,1:00:00 AM,,20.424,0,NA,10641596,35.11881,-119.6291,Carrizo,Carrizo_4,HOBO,triangle,8,0,0,0
62,ng,2022-05-17,2:00:00 AM,,18.616,0,NA,10641596,35.11881,-119.6291,Carrizo,Carrizo_4,HOBO,triangle,8,0,0,0
63,ng,2022-05-17,3:00:00 AM,,17.094,0,NA,10641596,35.11881,-119.6291,Carrizo,Carrizo_4,HOBO,triangle,8,0,0,0
64,ng,2022-05-17,4:00:00 AM,,15.664,0,NA,10641596,35.11881,-119.6291,Carrizo,Carrizo_4,HOBO,triangle,8,0,0,0
65,ng,2022-05-17,5:00:00 AM,,14.23,0,NA,10641596,35.11881,-119.6291,Carrizo,Carrizo_4,HOBO,triangle,8,0,0,0
66,ng,2022-05-17,6:00:00 AM,,12.787,0,NA,10641596,35.11881,-119.6291,Carrizo,Carrizo_4,HOBO,triangle,8,0,0,0
67,ng,2022-05-17,7:00:00 AM,,11.625,0,NA,10641596,35.11881,-119.6291,Carrizo,Carrizo_4,HOBO,triangle,8,0,0,0
68,ng,2022-05-17,8:00:00 AM,,11.431,0,NA,10641596,35.11881,-119.6291,Carrizo,Carrizo_4,HOBO,triangle,8,0,0,0
69,ng,2022-05-17,9:00:00 AM,,11.722,0,NA,10641596,35.11881,-119.6291,Carrizo,Carrizo_4,HOBO,triangle,8,0,0,0
70,ng,2022-05-17,10:00:00 AM,,13.654,0,NA,10641596,35.11881,-119.6291,Carrizo,Carrizo_4,HOBO,triangle,8,0,0,0
71,ng,2022-05-17,11:00:00 AM,,18.616,1,NA,10641596,35.11881,-119.6291,Carrizo,Carrizo_4,HOBO,triangle,8,0,0,0
72,ng,2022-05-17,12:00:00 PM,,30.659,1344,NA,10641596,35.11881,-119.6291,Carrizo,Carrizo_4,HOBO,triangle,8,0,0,0
73,ng,2022-05-17,1:00:00 PM,,33.743,2560,NA,10641596,35.11881,-119.6291,Carrizo,Carrizo_4,HOBO,triangle,8,0,0,0
74,ng,2022-05-17,2:00:00 PM,,34.163,3072,NA,10641596,35.11881,-119.6291,Carrizo,Carrizo_4,HOBO,triangle,8,0,0,0
75,ng,2022-05-17,3:00:00 PM,,33.743,3456,NA,10641596,35.11881,-119.6291,Carrizo,Carrizo_4,HOBO,triangle,8,0,0,0
76,ng,2022-05-17,4:00:00 PM,,34.374,2560,NA,10641596,35.11881,-119.6291,Carrizo,Carrizo_4,HOBO,triangle,8,0,0,0
77,ng,2022-05-17,5:00:00 PM,,33.848,2560,NA,10641596,35.11881,-119.6291,Carrizo,Carrizo_4,HOBO,triangle,8,0,0,0
78,ng,2022-05-17,6:00:00 PM,,31.983,1408,NA,10641596,35.11881,-119.6291,Carrizo,Carrizo_4,HOBO,triangle,8,0,0,0
79,ng,2022-05-17,7:00:00 PM,,31.064,3200,NA,10641596,35.11881,-119.6291,Carrizo,Carrizo_4,HOBO,triangle,8,0,0,0
80,ng,2022-05-17,8:00:00 PM,,22.142,40,NA,10641596,35.11881,-119.6291,Carrizo,Carrizo_4,HOBO,triangle,8,0,0,0
81,ng,2022-05-17,9:00:00 PM,,18.426,0,NA,10641596,35.11881,-119.6291,Carrizo,Carrizo_4,HOBO,triangle,8,0,0,0
82,ng,2022-05-17,10:00:00 PM,,16.332,0,NA,10641596,35.11881,-119.6291,Carrizo,Carrizo_4,HOBO,triangle,8,0,0,0
83,ng,2022-05-17,11:00:00 PM,,16.046,0,NA,10641596,35.11881,-119.6291,Carrizo,Carrizo_4,HOBO,triangle,8,0,0,0
84,ng,2022-05-18,12:00:00 AM,,15.473,0,NA,10641596,35.11881,-119.6291,Carrizo,Carrizo_4,HOBO,triangle,8,0,0,0
85,ng,2022-05-18,1:00:00 AM,,14.9,0,NA,10641596,35.11881,-119.6291,Carrizo,Carrizo_4,HOBO,triangle,8,0,0,0
86,ng,2022-05-18,2:00:00 AM,,12.497,0,NA,10641596,35.11881,-119.6291,Carrizo,Carrizo_4,HOBO,triangle,8,0,0,0
